id,dato_virkning,termin_fra,termin_til,utbetaling_fra,utbetaling_til,hendelse,type,mekanisme,forventet_effekt_antall,forventet_effekt_belop,geografi,kilde,verifisering
I11,2024-01,2023-12,2024-03,2024-01,2024-04,Strømstøtte siste vindu jan-apr 2024 (utbetalingsmåned),belop,"569 mill. kr til ~132 200 husstander; beløp per måned trolig 1 500 + 150 (nivå fra des 2023)",ingen,opp,nasjonal,Husbankens årsrapport 2024 s.28+45; beløpsnivå: bekreft i Prop. 1 S (2023-2024) KDD,delvis - månedsbeløp gjenstår
I12,2024-04,2024-04,,2024-05,,Midlertidig regelverk avviklet - retur til ordinær egenandel,nivå,"Progressivt ledd tilbake til ordinært nivå; ~25 000 husstander mistet retten (fikk avslag); nivåfall i serien",ned,ned,nasjonal,Husbankens årsrapport 2024 s.44-45,bekreftet
I13,2024-06,2024-06,,2024-07,,Årlig prisjustering 2024,parameter,"Boutgiftssatser +4,2 %, egenandelssatser +4,7 % (justeres 1. juni hvert år, modell fra 2017)",svakt opp,opp,nasjonal,Husbankens årsrapport 2024 s.45,bekreftet
I14,2024-07,2024-07,,2024-08,,Egenandel forenklet + boutgiftstak +4000,parameter,"Trinnvis progressiv egenandel erstattet med lineært ledd (ingen tapere, 14 mill.); innslagspunkter hevet så økte minsteytelser KVP/AAP/uføretrygd ikke reduserer bostøtten; boutgiftstak +4 000 kr for alle (85 mill.)",opp,opp,nasjonal,Husbankens årsrapport 2024 s.45-46,bekreftet
I15,2024-09,2024-09,,2024-10,,Oppvarmingstillegg til alle,parameter,"22 mill. kr; tillegg for oppvarming utenfor husleie/fellesutgifter utvidet fra kun alders-/uføre-/etterlattepensjonister til alle mottakere fra 1.9.2024 (NB: memory-notat sa 1. okt - korrigert)",opp,opp,nasjonal,Husbankens årsrapport 2024 s.46,bekreftet
I16,2024-10,2024-10,,2024-11,,Hjemmeboende 18/19-åringers inntekt ut av beregningen,parameter,8 mill. kr i 2024; arbeidsinsentiv for ungdom,opp,opp,nasjonal,Husbankens årsrapport 2024 s.46,bekreftet
I17,2025-01,2025-01,,2025-02,,AAP/dagpenger-skjerming innført,kalender,"2/3 av ytelsen medregnes i måneder med tre meldekortutbetalinger (14-dagerssyklus); månedene flytter med meldekortkalenderen (moving calendar); stabiliserer AAP-mottakertallet markant (fig. 3.4); første effekt i utbetalingen 20. feb 2025",opp + redusert sesongvolatilitet,opp,nasjonal,Husbankens årsrapport 2025 s.47 + veileder 2.5.1 + husbanken.no/person/bostotte/aap-og-bostotte,bekreftet
I18,2025-05,2025-05,,2025-06,,Økt minsteytelse mai 2025 - negativ inntektskanal,parameter,Økte minsteytelser løfter inntektsgrunnlaget for bl.a. enslige alderspensjonister (memory-notat: ~13 000 berørt) - trekker antall mottakere ned,ned,ned,nasjonal,regjeringen.no (primærrunde 3. aug); ikke gjenfunnet i årsrapport 2025 ennå,delvis
I19,2025-06,2025-06,,2025-07,,Årlig prisjustering 2025,parameter,"Boutgiftssatser +2,7 %, egenandelssatser +4,1 %",svakt opp,opp,nasjonal,Husbankens årsrapport 2025 s.47,bekreftet
I20,2026-01,2026-01,,2026-02,,Statsbudsjettet 2026: ingen regelendringer,ingen,Ren prisjustering; ingen strukturelle endringer vedtatt,ingen,ingen,nasjonal,Statsbudsjettet 2026 (primærrunde 3. aug),bekreftet
